year,semester,class_code,class_section,credit,max_num,class_room,taking_num,class_time
2013,1,BFT20001,2,3,70,NMH 307,34,"M1,Th1"
2013,1,BFT20001,1,3,70,NMH 307,65,"M2,Th2"
2013,1,BFT20002,1,3,70,OH 405,110,"Tu4,F4"
2013,1,BFT20010,1,3,50,NMH 307,13,"M4,Th4"
2013,1,BFT30001,2,3,70,NMH 402,41,"Tu3,F3"
2013,1,BFT30001,1,3,70,NMH 410B,54,"Tu2,F2"
2013,1,BFT30004,1,1,20,NMH 307,10,W2
2013,1,BFT30004,2,1,20,NMH 309,15,W2
2013,1,BFT30004,3,1,20,NMH 310,19,W2
2013,1,BFT30010,2,1,50,NMH 307,17,"Tu9,F9"
2013,1,BFT30010,1,1,50,NMH 307,43,"M8,Th8"
2013,1,BFT30013,2,1,50,NMH 307,15,W9
2013,1,BFT30013,1,1,50,NMH 307,41,W8
2013,1,BFT30016,1,3,70,NMH 403,56,"M2,Th2"
2013,1,BFT30020,1,3,50,NMH 307,27,"M6,Th6"
2013,1,BFT30023,1,2,40,NMH 307,27,W3
2013,1,BFT30027,1,3,70,NMH 307,45,"M5,Th5"
2013,1,BFT30055,1,1,40,NMH 410B,12,"M9,Th9"
2013,1,BFT40001,1,3,70,NMH 307,44,"M3,Th3"
2013,1,BFT40002,1,1,20,NMH 110,16,W2
2013,1,BFT40005,2,1,50,NMH 410B,10,"Tu9,F9"
2013,1,BFT40005,1,1,50,NMH 410B,29,"M8,Th8"
2013,1,BFT40012,1,3,60,NMH 310,29,"M4,Th4"
2013,1,BFT40013,1,3,60,NMH 309,15,"Tu5,F5"
2013,1,BFT40014,1,3,40,NMH 310,17,"M2,Th2"
2013,1,BFT40051,1,3,40,NMH 310,5,"M5,Th5"
2013,1,BFT40052,1,1,40,NMH 307,24,"Tu8,F8"
2013,1,CCC20033,1,3,25,NMH 410B,29,"M5,Th5"
2013,1,CCC20050,1,3,25,NMH 405,31,"Tu2,F2"
2013,1,CCC20051,1,3,30,NMH 410B,30,"Tu3,F3"
2013,1,CCC20052,1,3,40,NMH 405,40,"M6,Th6"
2013,1,CCC20053,1,3,50,NMH 410A,72,"M2,Th2"
2013,1,CCC20064,1,3,30,NMH 307,54,"Tu5,Tu6"
2013,1,CCC20065,1,3,30,NMH 405,33,"M3,Th3"
