classroom,ANH 302,ANH 304,ANH 305,ANH 313,ANH Auditorium,GLC 101,GLC 106,GLC 201,GLC 202,GLC 204,GLC 301,GLC 302,GLC 303,GLC 304,GLC 305,HCA 2층,HCA 3층,HDH 214,HDH 303A,HDH 303B,HDH 318,HDH 320A,HDH 320B,HDH 323C,HDH 324,HDH 326A,HDH 402,HDH 403,HDH 418B,HDH 419,HDH 424,HDH 425B,NMH 102B,NMH 103A,NMH 104A,NMH 105,NMH 106,NMH 107,NMH 108,NMH 109,NMH 110,NMH 202,NMH 204,NMH 205B,NMH 206B,NMH 207,NMH 208,NMH 209,NMH 307,NMH 309,NMH 310,NMH 402,NMH 403,NMH 404,NMH 405,NMH 406,NMH 410A,NMH 410B,NMH 411,NTH 113,NTH 115,NTH 118,NTH 120B,NTH 209A,NTH 211,NTH 212,NTH 213,NTH 214,NTH 215,NTH 217,NTH 218,NTH 220,NTH 310,NTH 311,NTH 313,NTH 411,NTH 412,NTH 413,NTH 414,NTH 417,OH 302,OH 305,OH 306,OH 401,OH 402,OH 403,OH 405,OH 420,OH 421,OH 영상정보실,SU 101,SU 104
ANH 302,0,0,0,0,0,56,56,59,59,59,61,61,61,61,61,67,67,49,59,59,48,48,48,48,48,48,54,54,5,5,5,5,29,29,29,31,31,31,31,31,31,23,23,35,35,35,35,35,36,36,36,37,37,37,39,39,39,39,39,14,14,14,14,7,7,7,7,7,7,7,7,7,8,8,8,12,12,12,12,12,26,26,26,31,31,31,31,31,31,31,54,48
ANH 304,0,0,0,0,0,56,56,59,59,59,61,61,61,61,61,67,67,49,59,59,48,48,48,48,48,48,54,54,5,5,5,5,29,29,29,31,31,31,31,31,31,23,23,35,35,35,35,35,36,36,36,37,37,37,39,39,39,39,39,14,14,14,14,7,7,7,7,7,7,7,7,7,8,8,8,12,12,12,12,12,26,26,26,31,31,31,31,31,31,31,54,48
ANH 305,0,0,0,0,0,56,56,59,59,59,61,61,61,61,61,67,67,49,59,59,48,48,48,48,48,48,54,54,5,5,5,5,29,29,29,31,31,31,31,31,31,23,23,35,35,35,35,35,36,36,36,37,37,37,39,39,39,39,39,14,14,14,14,7,7,7,7,7,7,7,7,7,8,8,8,12,12,12,12,12,26,26,26,31,31,31,31,31,31,31,54,48
ANH 313,0,0,0,0,0,56,56,59,59,59,61,61,61,61,61,67,67,49,59,59,48,48,48,48,48,48,54,54,5,5,5,5,29,29,29,31,31,31,31,31,31,23,23,35,35,35,35,35,36,36,36,37,37,37,39,39,39,39,39,14,14,14,14,7,7,7,7,7,7,7,7,7,8,8,8,12,12,12,12,12,26,26,26,31,31,31,31,31,31,31,54,48
ANH Auditorium,0,0,0,0,0,56,56,59,59,59,61,61,61,61,61,67,67,49,59,59,48,48,48,48,48,48,54,54,5,5,5,5,29,29,29,31,31,31,31,31,31,23,23,35,35,35,35,35,36,36,36,37,37,37,39,39,39,39,39,14,14,14,14,7,7,7,7,7,7,7,7,7,8,8,8,12,12,12,12,12,26,26,26,31,31,31,31,31,31,31,54,48
GLC 101,56,56,56,56,56,0,0,5,5,5,7,7,7,7,7,16,16,20,21,21,21,21,21,21,21,21,24,24,24,24,24,24,32,32,32,32,32,32,32,32,32,40,40,40,40,40,40,40,35,35,35,41,41,41,41,41,41,41,41,40,40,40,44,44,44,44,44,44,44,44,44,44,47,47,47,48,48,48,48,48,46,46,46,51,51,51,51,51,51,51,49,33
GLC 106,56,56,56,56,56,0,0,5,5,5,7,7,7,7,7,16,16,20,21,21,21,21,21,21,21,21,24,24,24,24,24,24,32,32,32,32,32,32,32,32,32,40,40,40,40,40,40,40,35,35,35,41,41,41,41,41,41,41,41,40,40,40,44,44,44,44,44,44,44,44,44,44,47,47,47,48,48,48,48,48,46,46,46,51,51,51,51,51,51,51,49,33
GLC 201,59,59,59,59,59,5,5,0,0,0,10,10,10,10,10,23,23,23,24,24,24,24,24,24,24,24,28,28,28,28,28,28,36,36,36,36,36,36,36,36,36,44,44,44,44,44,44,44,38,38,38,45,45,45,45,45,45,45,45,44,44,44,44,48,48,48,48,48,48,48,48,48,51,51,51,52,51,51,51,51,49,49,49,55,55,55,55,55,55,55,52,36
GLC 202,59,59,59,59,59,5,5,0,0,0,10,10,10,10,10,23,23,23,24,24,24,24,24,24,24,24,28,28,28,28,28,28,36,36,36,36,36,36,36,36,36,44,44,44,44,44,44,44,38,38,38,45,45,45,45,45,45,45,45,44,44,44,44,48,48,48,48,48,48,48,48,48,51,51,51,52,51,51,51,51,49,49,49,55,55,55,55,55,55,55,52,36
GLC 204,59,59,59,59,59,5,5,0,0,0,10,10,10,10,10,23,23,23,24,24,24,24,24,24,24,24,28,28,28,28,28,28,36,36,36,36,36,36,36,36,36,44,44,44,44,44,44,44,38,38,38,45,45,45,45,45,45,45,45,44,44,44,44,48,48,48,48,48,48,48,48,48,51,51,51,52,51,51,51,51,49,49,49,55,55,55,55,55,55,55,52,36
